,country,article_name,revision_id,article_quality,population
358,Uganda,Beatrice Wabudeya,789747515,Start,44100000.0
359,Uganda,Jane Aceng,789747629,C,44100000.0
360,Uganda,Ruth Achieng,789747664,Stub,44100000.0
361,Uganda,Justine Ayebazibwe,789748037,Stub,44100000.0
362,Uganda,Jessica Eriyo,789748269,Start,44100000.0
363,Uganda,Mary Karooro Okurut,789748670,Start,44100000.0
364,Uganda,Adrian Tibaleka,789748752,Stub,44100000.0
365,Uganda,Nusura Tiperu,789748782,Start,44100000.0
366,Uganda,Florence Nakiwala Kiyingi,789748978,Start,44100000.0
367,Uganda,Ruth Nankabirwa,789799593,Start,44100000.0
368,Uganda,Justine Lumumba Kasule,789799605,Start,44100000.0
369,Uganda,Idah Nantaba,789799744,C,44100000.0
370,Uganda,Harriet Ntabazi,789799847,Start,44100000.0
371,Uganda,Florence Nebanda,789799901,Start,44100000.0
372,Uganda,Lukia Isanga Nakadama,789799952,Start,44100000.0
373,Uganda,Mariam Nalubega,789799984,Start,44100000.0
374,Uganda,Jenipher Namuyangu,789800111,C,44100000.0
375,Uganda,Sarah Kataike,789800331,C,44100000.0
376,Uganda,Caroline Amali Okao,789800629,Start,44100000.0
377,Uganda,Beatrice Rwakimari,789803765,Stub,44100000.0
378,Uganda,Mariam Naigaga,790372580,C,44100000.0
379,Uganda,Rose Akol,790424964,Start,44100000.0
380,Uganda,Amelia Kyambadde,790428762,Start,44100000.0
381,Uganda,Jehoash Mayanja Nkangi,790837175,Start,44100000.0
382,Uganda,Joash Mayanja Nkangi,790993796,C,44100000.0
383,Uganda,Moses Adome,791007274,Stub,44100000.0
384,Uganda,Paulson Luttamaguzi,791007297,Stub,44100000.0
385,Uganda,Charles Engola,793154991,Start,44100000.0
386,Uganda,Cerinah Nebanda,793515881,Start,44100000.0
387,Uganda,John Ssebaana Kizito,793539141,Start,44100000.0
388,Uganda,Persis Namuganza,793628029,Start,44100000.0
389,Uganda,Christine Amongin Aporu,794194807,Start,44100000.0
390,Uganda,Christine Ondoa,794200311,Start,44100000.0
391,Uganda,Concy Aciro,795100048,Start,44100000.0
392,Uganda,Peace Mutuuzo,795181968,Start,44100000.0
393,Uganda,Patrick Kayemba,795404749,Stub,44100000.0
394,Uganda,Alengot Oromait,795458281,Start,44100000.0
395,Uganda,Beti Kamya-Turwomwe,796177970,C,44100000.0
396,Uganda,Abdu Katuntu,796406864,Stub,44100000.0
397,Uganda,Loyce Biira Bwambale,796684047,Start,44100000.0
398,Uganda,Mike Kennedy Sebalu,796694225,Stub,44100000.0
399,Uganda,Miria Matembe,796695675,Start,44100000.0
400,Uganda,Kalema of Buganda,796808819,Start,44100000.0
